County,COUNTYNS1,Yield
MAHNOMEN,659488,3.26451675
MARSHALL,659489,3.58543375
MARTIN,659490,2.8698265
MCLEOD,659491,2.6425215
MEEKER,659492,3.63681275
MILLE LACS,659493,3.45927275
MORRISON,659494,2.2508575
MURRAY,659496,2.50708
NICOLLET,659497,3.32019975
NOBLES,659498,2.77614725
NORMAN,659499,3.57332875
OLMSTED,659500,3.43143125
OTTER TAIL,659501,3.674271
PENNINGTON,659502,3.052881
PINE,659503,2.29557875
PIPESTONE,659504,3.758468
POLK,659505,3.5837525
POPE,659506,3.43506275
RED LAKE,659508,3.148914
REDWOOD,659509,3.15543725
RENVILLE,659510,3.563174
RICE,659511,3.72867625
ROCK,659512,3.625851
ROSEAU,659513,2.81105
SCOTT,659514,3.55974425
SHERBURNE,659515,3.0384895
SIBLEY,659516,2.461081
STEARNS,659517,3.1950475
STEELE,659518,3.51387975
STEVENS,659519,2.7318295
SWIFT,659520,3.22107325
TODD,659521,2.897668
TRAVERSE,659522,3.90016375
WABASHA,659523,3.537888
WADENA,659524,3.4570535
WASECA,659525,3.160212
WASHINGTON,659526,2.14090375
WATONWAN,659527,3.48092725
WILKIN,659528,2.8803175
WINONA,659529,3.508836
WRIGHT,659530,3.45079925
YELLOW MEDICINE,659531,3.576893
ALCORN,711755,3.2273275
BENTON,695729,3.54091425
BOLIVAR,695730,3.0167005
CALHOUN,695731,2.9849585
CARROLL,695732,3.6528855
CHICKASAW,695733,2.904931
CLAY,695737,3.5786415
COAHOMA,695738,3.2162985
HINDS,695748,3.8723895
HOLMES,695749,2.70526575
HUMPHREYS,695750,3.5337185
ISSAQUENA,695751,3.4167035
ITAWAMBA,695752,3.62618725
JONES,695757,2.942591
LEAKE,695763,2.9505265
LEE,695764,3.467679
LEFLORE,695765,2.8894635
LOWNDES,695767,3.37642075
MADISON,695768,3.02497225
MARSHALL,695770,3.00466275
MONROE,695771,3.317846
NEWTON,695773,3.149183
NOXUBEE,695774,3.190878
PANOLA,695776,3.277765
PONTOTOC,695803,3.55288475
PRENTISS,695779,3.621009
QUITMAN,695780,2.8703645
RANKIN,695781,3.00775625
SCOTT,695782,2.750256
SHARKEY,695783,2.683275
SUNFLOWER,695787,3.38018675
TALLAHATCHIE,695788,2.82214625
TATE,695789,3.3435355
TIPPAH,695790,3.01797825
TUNICA,695792,2.98758125
UNION,695793,2.9932975
WASHINGTON,695796,3.00035875
WEBSTER,695798,3.1221485
YALOBUSHA,695801,2.900089
YAZOO,695802,2.91562375
ADAIR,765805,3.0355305
ANDREW,758456,3.214281
ATCHISON,758457,2.8754755
AUDRAIN,758458,3.50930675
BARTON,758460,3.3513365
BATES,758461,3.282876
BENTON,758462,3.302782
BOLLINGER,758463,3.09020475
BOONE,758464,3.09450875
BUCHANAN,758465,2.878031
BUTLER,758466,3.529011
CALDWELL,758467,3.07137475
CALLAWAY,758468,2.909773
CAPE GIRARDEAU,758470,3.33311175
CARROLL,758471,3.0912135
CASS,758473,3.46478725
CEDAR,758474,3.95947825
CHARITON,758475,3.4005635
CHRISTIAN,758476,2.765858
CLARK,758477,3.04985475
CLAY,758478,2.9066795
CLINTON,758479,3.145148
COLE,758480,2.99672725
COOPER,758481,3.3346585
DADE,758483,2.83532725
DALLAS,758484,2.771238
DAVIESS,758485,3.1388265
DUNKLIN,758489,3.180387
FRANKLIN,758490,3.44703325
GASCONADE,758491,2.85146725
GENTRY,758492,2.72328875
GREENE,758493,3.149452
GRUNDY,758494,2.18165725
HARRISON,758495,3.25980925
HENRY,758496,2.87782925
HICKORY,758497,3.469024
HOLT,758498,2.87325625
HOWARD,758499,3.3583305
JACKSON,758502,2.76269725
JASPER,758503,3.081933
JEFFERSON,758504,3.04777
JOHNSON,758505,3.26841725
KNOX,758506,2.64326125
LAFAYETTE,758508,3.1302185
LAWRENCE,758509,2.595581
LEWIS,758510,2.94279275
LINCOLN,758511,2.67634825
LINN,758512,2.85409
LIVINGSTON,758513,3.21313775
MACON,758514,3.03290775
MARIES,758516,2.78596575
MARION,758517,3.72733125
MERCER,758519,3.44972325
MILLER,758520,2.89423825
MISSISSIPPI,758521,2.86397575
MONITEAU,758522,3.073056
MONROE,758523,2.90284625
MONTGOMERY,758524,3.358196
MORGAN,758525,3.7308955
NEW MADRID,758526,2.70607275
NEWTON,758527,3.35772525
OSAGE,758530,2.98744675
PEMISCOT,758532,2.77197775
PERRY,758533,2.927796
PETTIS,758534,3.272654
PIKE,758536,2.69396775
PLATTE,758537,3.19134875
POLK,758538,3.1272595
PUTNAM,758540,2.65778725
RALLS,758541,3.1409785
RANDOLPH,758542,2.98435325
RAY,758543,3.23613725
SALINE,758550,3.16270025
SCHUYLER,758551,3.11266625
SCOTLAND,758552,2.8937675
SCOTT,758553,2.78569675
SHELBY,758555,2.99282675
STODDARD,758556,2.70970425
SULLIVAN,758558,3.02214775
VERNON,758561,3.17668825
WARREN,758562,3.218854
WASHINGTON,758563,3.35651475
WEBSTER,758565,2.8364705
WORTH,758566,3.13203425
ADAMS,835823,3.32369675
ANTELOPE,835824,3.030285
BOONE,835828,3.30015925
BOYD,835829,3.75745925
BUFFALO,835831,3.1641125
BURT,835832,3.37265475
BUTLER,835833,2.80883075
CASS,835834,3.43196925
CEDAR,835835,3.06545675
CHASE,835836,2.88146075
CLAY,835839,2.7460865
COLFAX,835840,3.2456195
CUMING,835841,3.0390275
CUSTER,835842,2.3468905
DAKOTA,835843,3.48550025
DAWSON,835845,3.837823
DEUEL,835846,4.090952
DIXON,835847,4.15490675
DODGE,835848,3.1197275
DOUGLAS,835849,3.59874925
DUNDY,835850,3.909108
FILLMORE,835851,3.98597475
FRANKLIN,835852,3.9576625
FRONTIER,835853,3.88240975
FURNAS,835854,4.1058815
GAGE,835855,3.836747
GARFIELD,835857,3.8963305
GOSPER,835858,3.66505775
GREELEY,835860,3.442124
HALL,835861,3.906418
HAMILTON,835862,3.7548365
HARLAN,835863,3.53028875
HOLT,835866,3.844817
HOWARD,835868,4.01690975
JEFFERSON,835869,3.58812375
JOHNSON,835870,3.1052015
KEARNEY,835871,4.032041
KEITH,835872,3.73701525
LANCASTER,835876,2.97520725
LINCOLN,835877,3.2332455
MERRICK,835882,3.814689
NANCE,835884,3.433247
NEMAHA,835885,3.332372
NUCKOLLS,835886,4.01583375
OTOE,835887,3.82887875
PAWNEE,835888,4.0335205
PERKINS,835889,3.3986805
PHELPS,835890,3.78758725
PIERCE,835891,3.64421025
PLATTE,835892,3.858805
POLK,835893,3.83224125
RED WILLOW,835894,3.673195
RICHARDSON,835895,3.43842525
ROCK,835896,3.77938275
SALINE,835897,3.3284715
SARPY,835898,3.87447425
SAUNDERS,835899,3.90392975
SEWARD,835901,3.78906675
SHERIDAN,835902,3.66129175
SHERMAN,835903,3.91226875
STANTON,835905,3.6109215
THAYER,835906,3.600565
THURSTON,835908,3.980393
VALLEY,835909,3.8269285
WASHINGTON,835910,4.11724675
WAYNE,835911,4.07568625
WEBSTER,835912,3.32921125
WHEELER,835913,3.74723725
YORK,835914,3.403119
ADAMS,1034214,3.64421025
BARNES,1034235,3.468755
BENSON,1034215,3.97413875
BOTTINEAU,1035303,3.9851005
BURKE,1034218,2.15058775
BURLEIGH,1034233,3.78556975
CASS,1035622,3.75974575
CAVALIER,1034225,3.72881075
DICKEY,1035614,3.572051
DIVIDE,1034231,3.84111825
DUNN,1034227,3.93607525
EDDY,1034216,3.91966625
EMMONS,1035618,3.33566725
FOSTER,1035620,3.60009425
GRAND FORKS,1035615,4.15961425
GRIGGS,1034203,1.88669875
HETTINGER,1034221,2.51279625
KIDDER,1035305,2.38798025
LOGAN,1034206,2.67984525
MCHENRY,1034217,2.21918275
MCINTOSH,1034220,2.444941
MCKENZIE,1034204,2.58986475
MCLEAN,1034219,2.8222135
MERCER,1035896,2.4469585
MORTON,1034234,2.13807925
MOUNTRAIL,1034211,2.0404995
NELSON,1034210,2.60439075
OLIVER,1035304,2.507618
PEMBINA,1035306,2.4910745
PIERCE,1034226,1.777821
RAMSEY,1035307,2.4813905
RANSOM,1034232,2.05199925
RENVILLE,1034223,2.5244305
RICHLAND,1034212,2.5432605
ROLETTE,1035302,2.5206645
SARGENT,1035299,2.66558825
SHERIDAN,1035301,2.49705975
SLOPE,1034213,1.94439925
STARK,1034229,2.40869325
STEELE,1034224,2.36767075
STUTSMAN,1034205,2.3834745
TOWNER,1035623,2.3589955
TRAILL,1034228,2.31777125
WALSH,1034207,2.21178525
WARD,1034230,2.72745825
WELLS,1034222,2.3789015
WILLIAMS,1034209,2.32489975
ADAMS,1074044,2.9580585
ALLEN,1074015,2.6027095
ASHLAND,1074055,3.0123965
ASHTABULA,1074036,2.37184025
ATHENS,1074021,2.77170875
AUGLAIZE,1074070,2.59013375
BROWN,1074079,2.03559025
BUTLER,1074085,1.86356475
CARROLL,1074093,2.516495
CHAMPAIGN,1074075,2.58919225
CLARK,1074047,2.369621
CLERMONT,1074038,2.556576
CLINTON,1074020,2.48737575
COLUMBIANA,1074058,2.60264225
COSHOCTON,1074089,2.5120565
CRAWFORD,1074078,2.29571325
DARKE,1074056,2.97951125
DEFIANCE,1074014,3.41811575
DELAWARE,1074029,3.05375525
ERIE,1074042,3.15799275
FAIRFIELD,1074092,2.6769535
FAYETTE,1074077,3.51266925
FRANKLIN,1074072,3.0982075
FULTON,1074082,3.3249745
GALLIA,1074023,2.7506595
GEAUGA,1074096,3.3438045
GREENE,1074074,3.35705275
GUERNSEY,1074046,3.16861825
HAMILTON,1074024,3.2109185
HANCOCK,1074049,3.299016
HARDIN,1074067,3.19323175
HARRISON,1074033,3.76916075
HENRY,1074031,3.858267
HIGHLAND,1074041,2.55085975
HOCKING,1074016,3.303858
HOLMES,1074060,3.32215
HURON,1074017,3.961294
JACKSON,1074080,3.2327075
KNOX,1074052,3.167744
LAKE,1065576,3.2431985
LAWRENCE,1074062,3.04622325
LICKING,1074090,2.946088
LOGAN,1074048,3.50177475
LORAIN,1074071,3.003923
LUCAS,1074063,2.77157425
MADISON,1074076,3.4255805
MAHONING,1074034,3.24245875
MARION,1074026,2.812126
MEDINA,1074059,3.2173745
MEIGS,1074032,3.26478575
MERCER,1074018,2.98906075
MIAMI,1074084,3.15651325
MONTGOMERY,1074069,3.358196
MORGAN,1074019,3.0172385
MORROW,1074040,3.63560225
MUSKINGUM,1074043,3.028671
OTTAWA,1074050,2.74709525
PAULDING,1074027,3.697674
PERRY,1074022,3.39861325
PICKAWAY,1074083,3.331565
PIKE,1074095,3.08563175
PORTAGE,1074061,3.28738175
PREBLE,1074045,3.2593385
PUTNAM,1074025,3.24326575
RICHLAND,1074081,3.061758
ROSS,1074065,2.895247
SANDUSKY,1074037,3.63425725
SCIOTO,1074051,3.72531375
SENECA,1074086,3.34333375
SHELBY,1074097,2.64151275
STARK,1074091,3.2765545
SUMMIT,1074094,3.23519575
TRUMBULL,1074035,2.95207325
TUSCARAWAS,1074054,2.958731
UNION,1074057,3.49383925
VAN WERT,1074088,3.21044775
VINTON,1074087,3.06122
WARREN,1074064,3.177966
WASHINGTON,1074039,3.783485
