COUNTYNS1,GEOID,county,Yield
1622981,26077,KALAMAZOO,2.42402625
1622983,26081,KENT,2.606072
1622986,26087,LAPEER,2.82725725
1622988,26091,LENAWEE,2.72813075
1622992,26099,MACOMB,2.77897175
1622995,26105,MASON,2.542319
1622996,26107,MECOSTA,2.36134925
1622998,26111,MIDLAND,2.183204
1623000,26115,MONROE,2.36451
1623001,26117,MONTCALM,2.52180775
1623002,26119,MONTMORENCY,2.59524475
1623003,26121,MUSKEGON,2.42402625
1623004,26123,NEWAYGO,2.59389975
1623005,26125,OAKLAND,2.586704
1623007,26129,OGEMAW,2.38811475
1623009,26133,OSCEOLA,2.36498075
1623012,26139,OTTAWA,2.58919225
1623013,26141,PRESQUE ISLE,2.63613275
1623015,26145,SAGINAW,2.46800775
1623016,26151,SANILAC,2.4084915
1623018,26155,SHIAWASSEE,2.245612
1623019,26157,TUSCOLA,2.68858775
1623021,26161,WASHTENAW,2.897937
659448,27005,BECKER,2.516764
659449,27007,BELTRAMI,3.10634475
659451,27011,BIG STONE,2.64205075
659452,27013,BLUE EARTH,2.85832675
659453,27015,BROWN,2.461081
659455,27019,CARVER,2.69033625
659457,27023,CHIPPEWA,3.196258
659458,27025,CHISAGO,3.03653925
659459,27027,CLAY,2.938556
659460,27029,CLEARWATER,2.78394825
659462,27033,COTTONWOOD,2.42106725
659465,27039,DODGE,2.61272975
659466,27041,DOUGLAS,2.79605325
659467,27043,FARIBAULT,3.0336475
659468,27045,FILLMORE,2.78435175
659469,27047,FREEBORN,2.75691375
659470,27049,GOODHUE,3.3725875
659471,27051,GRANT,3.04581975
659472,27053,HENNEPIN,3.13701075
659473,27055,HOUSTON,3.190878
659475,27059,ISANTI,2.964918
659477,27063,JACKSON,2.5577865
659480,27069,KITTSON,3.3551025
659481,27071,KOOCHICHING,2.2341795
659482,27073,LAC QUI PARLE,2.95072825
659483,27077,LAKE OF THE WOODS,2.39968175
659486,27081,LINCOLN,2.68038325
659487,27083,LYON,2.67500325
659489,27089,MARSHALL,2.7522735
659490,27091,MARTIN,2.3923515
659491,27085,MCLEOD,2.8870425
659493,27095,MILLE LACS,2.569219
659494,27097,MORRISON,3.26317175
659495,27099,MOWER,2.89087575
659496,27101,MURRAY,2.55650875
659497,27103,NICOLLET,2.72799625
659498,27105,NOBLES,2.89706275
659499,27107,NORMAN,2.67930725
659501,27111,OTTER TAIL,3.40533825
659503,27115,PINE,2.79309425
659504,27117,PIPESTONE,2.8211375
659505,27119,POLK,2.99323025
659508,27125,RED LAKE,2.428801
659509,27127,REDWOOD,2.86491725
659510,27129,RENVILLE,2.86922125
659512,27133,ROCK,2.83694125
659513,27135,ROSEAU,3.0056715
659516,27143,SIBLEY,2.909235
659517,27145,STEARNS,2.877762
659518,27147,STEELE,2.8956505
659519,27149,STEVENS,3.0374135
659520,27151,SWIFT,2.923492
659521,27153,TODD,2.93405025
659522,27155,TRAVERSE,2.637814
659524,27159,WADENA,2.884756
659525,27161,WASECA,2.699684
659526,27163,WASHINGTON,2.644001
659527,27165,WATONWAN,2.8953815
659529,27169,WINONA,3.418721
659531,27173,YELLOW MEDICINE,2.976216
711755,28003,ALCORN,3.06962625
695729,28009,BENTON,3.342863
695730,28011,BOLIVAR,2.76888425
695731,28013,CALHOUN,2.7280635
695733,28017,CHICKASAW,3.16821475
695738,28027,COAHOMA,3.1729895
695744,28039,GEORGE,3.05980775
695748,28049,HINDS,2.61689925
695749,28051,HOLMES,3.0791085
695750,28053,HUMPHREYS,3.099418
695751,28055,ISSAQUENA,2.33633225
695752,28057,ITAWAMBA,3.048577
695765,28083,LEFLORE,2.92154175
695767,28087,LOWNDES,3.000964
695768,28089,MADISON,2.97628325
695770,28093,MARSHALL,2.5475645
695771,28095,MONROE,2.99054025
695773,28101,NEWTON,2.5497165
695774,28103,NOXUBEE,2.8009625
695776,28107,PANOLA,3.061758
695803,28115,PONTOTOC,2.63196325
695779,28117,PRENTISS,2.84528025
695780,28119,QUITMAN,2.5631665
695781,28121,RANKIN,2.83694125
695782,28123,SCOTT,2.8544935
695783,28125,SHARKEY,2.657989
695787,28133,SUNFLOWER,2.810512
695788,28135,TALLAHATCHIE,2.7140755
695789,28137,TATE,2.95704975
695790,28139,TIPPAH,2.917843
695792,28143,TUNICA,3.02806575
695793,28145,UNION,2.9435325
695794,28147,WALTHALL,3.01152225
695795,28149,WARREN,3.10661375
695796,28151,WASHINGTON,2.765589
695802,28163,YAZOO,2.80197125
765805,29001,ADAIR,2.953889
758458,29007,AUDRAIN,2.172713
758460,29011,BARTON,3.066331
758463,29017,BOLLINGER,2.769086
758464,29019,BOONE,2.6812575
758466,29023,BUTLER,3.188726
758470,29031,CAPE GIRARDEAU,2.84514575
758471,29033,CARROLL,2.5965225
758474,29039,CEDAR,2.93983375
758475,29041,CHARITON,2.8031145
758479,29049,CLINTON,2.5314245
758480,29051,COLE,2.36699825
758482,29055,CRAWFORD,3.009034
758483,29057,DADE,2.480449
758484,29059,DALLAS,2.93727825
758489,29069,DUNKLIN,2.7205315
758490,29071,FRANKLIN,2.53740975
758491,29073,GASCONADE,2.92947725
758502,29095,JACKSON,2.59376525
758503,29097,JASPER,2.98583275
758504,29099,JEFFERSON,2.894171
758508,29107,LAFAYETTE,2.85335025
758509,29109,LAWRENCE,2.55368425
758512,29115,LINN,2.832032
758513,29117,LIVINGSTON,3.00869775
758517,29127,MARION,3.14037325
758520,29131,MILLER,2.839564
758521,29133,MISSISSIPPI,2.40035425
758522,29135,MONITEAU,2.32059575
758524,29139,MONTGOMERY,2.56874825
758525,29141,MORGAN,2.76471475
758526,29143,NEW MADRID,2.33915675
758530,29151,OSAGE,2.909773
758532,29155,PEMISCOT,3.25806075
758534,29159,PETTIS,2.80519925
758537,29165,PLATTE,2.95207325
758538,29167,POLK,2.61434375
758541,29173,RALLS,2.9198605
758542,29175,RANDOLPH,2.96121925
758543,29177,RAY,2.7780975
758550,29195,SALINE,2.639159
758553,29201,SCOTT,2.89948375
758556,29207,STODDARD,2.677895
758562,29219,WARREN,2.45159875
758565,29225,WEBSTER,3.5716475
758566,29227,WORTH,2.39457075
835823,31001,ADAMS,2.978368
835830,31017,BROWN,3.05469675
835832,31021,BURT,2.74023575
835833,31023,BUTLER,2.58502275
835834,31025,CASS,3.83802475
835835,31027,CEDAR,3.16337275
835840,31037,COLFAX,3.253017
835841,31039,CUMING,3.73647725
835845,31047,DAWSON,3.6544995
835848,31053,DODGE,3.80265125
835849,31055,DOUGLAS,3.56687275
835851,31059,FILLMORE,3.657593
835855,31067,GAGE,3.676423
835858,31073,GOSPER,3.18126125
835861,31079,HALL,3.18650675
835862,31081,HAMILTON,3.8726585
835866,31089,HOLT,2.99430625
835868,31093,HOWARD,3.26317175
835869,31095,JEFFERSON,3.84703625
835870,31097,JOHNSON,4.1378925
835871,31099,KEARNEY,3.65658425
835876,31109,LANCASTER,3.70406275
835878,31113,LOGAN,3.19995675
835880,31119,MADISON,2.8270555
835884,31125,NANCE,3.94024475
835885,31127,NEMAHA,3.0056715
835887,31131,OTOE,3.22995025
835888,31133,PAWNEE,3.636342
835890,31137,PHELPS,3.50238
835891,31139,PIERCE,3.19793925
835892,31141,PLATTE,3.06478425
835895,31147,RICHARDSON,2.4891915
835896,31149,ROCK,3.944885
835897,31151,SALINE,3.593571
835899,31155,SAUNDERS,3.971785
835901,31159,SEWARD,3.199486
835903,31163,SHERMAN,3.27823575
835905,31167,STANTON,3.6235645
835906,31169,THAYER,3.586577
835908,31173,THURSTON,3.77104375
835910,31177,WASHINGTON,3.600296
835911,31179,WAYNE,3.50419575
835912,31181,WEBSTER,3.58072625
835914,31185,YORK,3.823835
1034210,38001,ADAMS,3.29531725
1034225,38003,BARNES,3.8791145
1034227,38009,BOTTINEAU,3.0156245
1034235,38013,BURKE,4.14038075
1034226,38017,CASS,2.211987
1035304,38019,CAVALIER,2.61582325
1035622,38021,DICKEY,2.363972
1034222,38027,EDDY,2.11736625
1035615,38029,EMMONS,2.58421575
1034223,38031,FOSTER,2.68213175
1034218,38035,GRAND FORKS,2.61528525
1035300,38037,GRANT,2.46841125
1034219,38039,GRIGGS,2.66478125
1034209,38041,HETTINGER,2.8340495
1035305,38049,MCHENRY,2.60856025
1035299,38053,MCKENZIE,2.3043885
1034232,38055,MCLEAN,2.36108025
1035307,38061,MOUNTRAIL,2.044131
1034217,38063,NELSON,2.632703
1034205,38065,OLIVER,2.48885525
1034212,38067,PEMBINA,1.99867
1034230,38069,PIERCE,2.480718
1035301,38073,RANSOM,2.42295025
1034229,38075,RENVILLE,2.39080475
1035302,38077,RICHLAND,2.40344775
1035303,38081,SARGENT,2.39362925
1034208,38085,SIOUX,2.34749575
1034220,38091,STEELE,2.797331
1034224,38093,STUTSMAN,2.37116775
1034213,38095,TOWNER,2.801635
